startYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,nconst
1915,195,"Drama,History,War",6.3,22122.0,nm0000428,"nm0228746,nm0000428,nm0940488",nm0910400
1916,163,"Drama,History",7.8,13835.0,nm0000428,"nm0048512,nm0115218,nm0000428,nm0002616,nm0640437,nm1578667,nm0940488","nm0366008,nm0877548"
1920,76,"Fantasy,Horror,Mystery",8.1,55301.0,nm0927468,"nm0562346,nm0417917","nm0470328,nm0891998,nm0270415"
1921,68,"Comedy,Drama,Family",8.3,108411.0,nm0000122,nm0000122,"nm0088471,nm0000122,nm0001067,nm0588033,nm0042317,nm0074788,nm0080930"
1922,91,"Fantasy,History,Horror",7.7,11721.0,nm0159725,nm0159725,nm0159725
1922,78,Documentary,7.6,10533.0,nm0280904,"nm0280878,nm0280904","nm1354245,nm0020180"
1922,94,"Fantasy,Horror",7.9,86313.0,nm0003638,"nm0301961,nm0831290","nm0775180,nm0334603,nm0903194"
1923,74,"Action,Comedy,Thriller",8.1,17720.0,"nm0628345,nm0853130","nm0730018,nm0853130,nm0924065,nm0907778,nm0369841,nm0516001","nm0516001,nm0835128,nm0949927"
1924,77,Drama,8.1,12046.0,nm0003638,nm0562346,"nm0417837,nm0384897"
1924,45,"Action,Comedy,Romance",8.2,39318.0,nm0000036,"nm0369841,nm0593477,nm0115669","nm0000036,nm0444172,nm0175068"
1925,75,"Drama,History,Thriller",8.0,51606.0,nm0001178,"nm0012810,nm0001178,nm0017893,nm0038595,nm0872308","nm0031446,nm0058290,nm0017893,nm0090434"
1925,95,"Adventure,Comedy,Drama",8.2,96919.0,nm0000122,nm0000122,"nm1027682,nm0000122,nm0841501,nm0615306,nm0074788,nm0906618,nm1033900"
1925,93,Horror,7.6,16193.0,"nm0432216,nm0151606,nm0480677,nm0781292","nm0503693,nm0031033,nm0165470,nm0566338,nm0566439,nm0715723,nm0775419,nm0908831,nm1541473","nm0151606,nm0449908,nm0136886"
1926,107,"Drama,Fantasy,Horror",8.1,13551.0,nm0003638,"nm0369458,nm0477515,nm0324473","nm0252472,nm0417837"
1927,153,"Drama,Sci-Fi",8.3,155467.0,nm0000485,"nm0902376,nm0000485","nm0002154,nm0297054,nm0459030"
1926,67,"Action,Adventure,Comedy",8.1,78378.0,"nm0115669,nm0000036","nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548","nm0000036,nm0147070,nm0267650"
1927,94,"Drama,Romance",8.1,45924.0,nm0003638,"nm0562346,nm0837183,nm0385012,nm0129721",nm0639563
1927,144,"Action,Drama,Romance",7.5,11088.0,"nm0920074,nm0195496","nm0766850,nm0521002,nm0510024,nm0425456,nm0604526","nm0736777,nm0035159"
1928,76,"Comedy,Drama,Family",8.1,10007.0,"nm0781292,nm0000036","nm0115669,nm0513858,nm0267868,nm0090213,nm0604526","nm0000036,nm0329467,nm0102718"
1928,72,"Comedy,Romance",8.1,26781.0,nm0000122,nm0000122,"nm0614730,nm0000122,nm0305087,nm0188357,nm0204639,nm0074788,nm0761866,nm0709466"
1928,110,"Biography,Drama,History",8.1,45547.0,nm0003433,"nm0217865,nm0003433","nm0798564,nm0075551,nm0776914"
1928,70,"Action,Comedy,Drama",7.9,12744.0,"nm0718469,nm0000036",nm0361882,"nm0000036,nm0570297,nm0868458,nm0507827"
1929,68,"Documentary,Music",8.4,21742.0,nm0895048,nm0895048,nm0442227
1930,152,"Drama,War",8.0,56188.0,nm0587277,"nm0718871,nm0027173,nm0007973,nm0028636,nm0837989,nm0031033,nm0587277","nm0000817,nm0938464,nm0942046,nm0524803"
1930,97,"Comedy,Musical",7.5,13289.0,nm0373511,"nm0442151,nm0753452,nm0436095,nm0748438","nm0000050,nm0555617,nm0555597,nm2580347"
1930,104,"Drama,Music",7.7,13272.0,nm0903049,"nm0542777,nm0958454,nm0901629,nm0509510,nm0903049,nm0935567","nm0417837,nm0314777"
1931,79,"Action,Crime,Drama",7.3,11697.0,nm0503777,"nm0122446,nm0267020,nm0498133,nm0520501,nm0953123","nm0000064,nm0001195,nm0171873"
1930,60,"Comedy,Drama",7.3,12505.0,nm0000320,"nm0000320,nm0198557,nm0211381","nm0595321,nm0259722"
1931,87,"Comedy,Drama,Romance",8.5,161738.0,nm0000122,"nm0000122,nm0139714,nm0188357","nm0000122,nm0616729"
1931,75,"Drama,Fantasy,Horror",7.5,44863.0,"nm0005713,nm0115218","nm0831290,nm0213019,nm0049721,nm0287124,nm0111313,nm0115218,nm0169606,nm0614225,nm0826873,nm0828574","nm0000509,nm0543115,nm0296859"
1931,70,"Drama,Horror,Romance",7.8,63082.0,nm0001843,"nm0049721,nm0791217,nm0916811,nm0287124,nm0267020,nm0770337,nm0282984,nm0751246","nm0166972,nm0000472,nm0092900"
1931,117,"Crime,Mystery,Thriller",8.3,138659.0,nm0000485,"nm0902376,nm0000485,nm0414825","nm0000048,nm0921532"
1931,77,"Comedy,Musical",7.5,11174.0,nm0572851,"nm0673279,nm0426953,nm0790654,nm0790383,nm5030661","nm0000050,nm0555617,nm2580347,nm0555597"
1931,83,"Crime,Drama",7.7,17254.0,nm0920074,"nm0321891,nm0109148,nm0857710","nm0000010,nm0940589"
1931,98,"Horror,Sci-Fi",7.6,12182.0,nm0541149,"nm0388755,nm0372698,nm0829044","nm0387561,nm0545298,nm0378555"
1932,64,"Drama,Horror",7.9,41018.0,nm0115218,"nm0730317,nm0325135,nm0330390,nm0090213,nm0531269,nm0941138","nm0285922,nm0040374"
